,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id
180,10648,Magnum Force,7.1,1973,12,"[18, 80, 28]",2250000.0,39768000.0,124,18635
181,1705,Battle for the Planet of the Apes,5.729,1973,6,"[28, 878]",1700000.0,8844595.0,93,18669
182,203,Mean Streets,7.1,1973,10,"[18, 80]",500000.0,3000000.0,111,1032
183,9277,The Sting,8.019,1973,12,"[35, 80, 18]",5500000.0,159616327.0,129,9577
184,11886,Robin Hood,7.3,1973,11,"[16, 10751]",5000000.0,33000000.0,83,57314
185,11901,High Plains Drifter,7.4,1973,4,"[37, 18, 9648]",5500000.0,15700000.0,105,190
186,9461,Enter the Dragon,7.429,1973,8,[28],10000000.0,21485066.0,102,57727
187,838,American Graffiti,7.033,1973,8,"[35, 18]",777000.0,140000000.0,110,1
188,253,Live and Let Die,6.495,1973,6,"[12, 28, 53]",7000000.0,126377836.0,121,9915
189,11293,Paper Moon,7.9,1973,5,"[35, 80, 18]",2500000.0,30900000.0,102,39012
190,7857,Amarcord,7.911,1973,12,"[35, 18]",2250000.0,19914897.5,123,4415
191,5924,Papillon,7.8,1973,12,"[80, 18]",12000000.0,53267000.0,151,13265
192,16307,The Wicker Man,7.373,1973,12,[27],810000.0,513000.0,88,80261
193,12101,Soylent Green,6.952,1973,4,"[878, 53]",2250000.0,3600000.0,97,2087
194,9040,Serpico,7.539,1973,12,"[80, 18, 36]",3000000.0,29800000.0,130,39996
195,2362,Westworld,6.77,1973,8,"[12, 878, 37]",1200000.0,10000000.0,89,4782
196,4909,The Day of the Jackal,7.495,1973,5,"[28, 53]",2250000.0,16056255.0,143,4065
197,12545,Jesus Christ Superstar,7.042,1973,8,"[10402, 18]",3500000.0,24593103.0,108,13563
198,9474,My Name Is Nobody,7.3,1973,12,"[35, 37]",2250000.0,19914897.5,117,57639
199,931,Don't Look Now,6.9,1973,1,"[53, 18, 27]",1500000.0,19914897.5,110,14132
200,8327,The Holy Mountain,7.591,1973,11,[18],750000.0,96262.0,114,55119
201,16306,Fantastic Planet,7.665,1973,12,"[16, 878]",2250000.0,19914897.5,72,80260
202,760,The Mad Adventures of Rabbi Jacob,7.396,1973,10,[35],2250000.0,19914897.5,100,11195
203,1847,The Long Goodbye,7.439,1973,3,"[80, 35, 18]",1700000.0,959000.0,112,9789
204,1675,Day for Night,7.8,1973,5,"[35, 18]",700000.0,850000.0,116,1650
205,11561,Sleeper,6.921,1973,12,"[35, 878]",2000000.0,18344729.0,87,1243
206,240,The Godfather Part II,8.576,1974,12,"[18, 80]",13000000.0,102600000.0,202,1776
207,30497,The Texas Chain Saw Massacre,7.291,1974,10,[27],140000.0,30900000.0,84,10051
208,829,Chinatown,7.918,1974,6,"[80, 18, 9648, 53]",6000000.0,30000000.0,130,3556
209,682,The Man with the Golden Gun,6.447,1974,12,"[12, 28, 53]",7000000.0,97572000.0,125,9915
210,11072,Blazing Saddles,7.26,1974,2,"[37, 35]",2600000.0,119500000.0,93,14639
211,24402,Emmanuelle,5.972,1974,6,"[18, 10749]",500000.0,35700000.0,94,38007
212,13939,Death Wish,6.9,1974,7,"[80, 18, 28]",3000000.0,22000000.0,93,19244
213,592,The Conversation,7.526,1974,4,"[80, 18, 9648]",1600000.0,4420000.0,113,1776
214,3034,Young Frankenstein,7.888,1974,12,[35],2800000.0,86273333.0,106,14639
