id,title,vote_average,vote_count,release_date,year,month,genre_ids,original_language,popularity
983,The Man Who Would Be King,7.501,582,1975-12-03,1975,12,"[12, 18]",en,15.197
11020,Picnic at Hanging Rock,7.23,730,1975-09-02,1975,09,"[18, 9648]",en,11.026
27429,Shivers,6.38,611,1975-09-26,1975,09,"[27, 878]",en,10.694
25606,White Collar Blues,7.802,800,1975-03-27,1975,03,[35],it,9.255
20914,My Friends,8.137,667,1975-10-24,1975,10,[35],it,8.938
103,Taxi Driver,8.153,11555,1976-02-09,1976,02,"[80, 18]",en,77.055
1366,Rocky,7.79,7423,1976-11-21,1976,11,[18],en,58.338
7340,Carrie,7.307,3589,1976-11-03,1976,11,"[27, 53]",en,46.265
10649,The Enforcer,6.8,813,1976-12-16,1976,12,"[80, 28]",en,38.314
794,The Omen,7.395,1909,1976-06-25,1976,06,"[27, 53]",en,36.743
5879,In the Realm of the Senses,6.615,572,1976-09-15,1976,09,"[18, 10749]",ja,34.002
10730,King Kong,6.215,780,1976-09-08,1976,09,"[12, 14]",en,30.319
10747,The Outlaw Josey Wales,7.452,1062,1976-06-30,1976,06,[37],en,29.339
10774,Network,7.82,1588,1976-11-14,1976,11,[18],en,28.776
10518,Marathon Man,7.223,994,1976-10-08,1976,10,[53],en,22.686
891,All the President's Men,7.674,1690,1976-04-09,1976,04,"[18, 36, 9648, 53]",en,21.035
3870,1900,7.872,584,1976-08-28,1976,08,"[18, 36]",it,20.603
9385,The Twelve Tasks of Asterix,7.33,1159,1976-06-26,1976,06,"[10751, 16, 35, 12]",fr,17.395
5336,"Salò, or the 120 Days of Sodom",6.4,1900,1976-01-10,1976,01,"[18, 27]",it,17.217
11482,The Tenant,7.653,1035,1976-05-26,1976,05,"[53, 27, 9648]",en,16.785
10803,Logan's Run,6.6,867,1976-06-23,1976,06,"[28, 878]",en,16.657
761,The Wing or the Thigh?,7.2,816,1976-10-27,1976,10,[35],fr,15.892
6037,Murder by Death,7.194,761,1976-06-23,1976,06,"[35, 80, 9648, 53]",en,15.161
17814,Assault on Precinct 13,7.276,1003,1976-10-08,1976,10,"[53, 28, 80]",en,12.649
37769,The Second Tragic Fantozzi,7.532,581,1976-04-15,1976,04,[35],it,7.834
11,Star Wars,8.204,19728,1977-05-25,1977,05,"[12, 28, 878]",en,94.735
691,The Spy Who Loved Me,6.8,1850,1977-07-07,1977,07,"[12, 28, 53]",en,38.67
11319,The Rescuers,6.775,2366,1977-06-22,1977,06,"[14, 10751, 16, 12]",en,35.707
703,Annie Hall,7.752,3696,1977-04-19,1977,04,"[35, 18, 10749]",en,35.563
250480,The Many Adventures of Winnie the Pooh,7.252,961,1977-03-11,1977,03,"[16, 10751, 12]",en,32.715
11906,Suspiria,7.515,2743,1977-02-01,1977,02,[27],it,32.142
840,Close Encounters of the Third Kind,7.358,3979,1977-12-14,1977,12,"[878, 18]",en,30.522
11586,Exorcist II: The Heretic,4.545,669,1977-06-17,1977,06,"[18, 27, 53]",en,26.681
11009,Saturday Night Fever,6.7,1809,1977-12-16,1977,12,"[10402, 18]",en,24.211
11114,Pete's Dragon,6.321,638,1977-11-03,1977,11,"[14, 16, 35, 10751]",en,24.108
