,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western
76,2661,Batman,6.33,1966,7,"[28, 35, 80]",1377800.0,3900000.0,105,27728,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
77,396,Who's Afraid of Virginia Woolf?,7.725,1966,6,[18],7500000.0,33736689.0,131,5342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,895,Andrei Rublev,8.037,1966,12,"[18, 36]",,24173.0,183,8452,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
79,5780,Torn Curtain,6.6,1966,7,[53],3000000.0,13000000.0,127,2636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80,17295,The Battle of Algiers,7.869,1966,9,"[18, 10752, 36]",800000.0,964028.0,121,90694,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
81,3001,How to Steal a Million,7.471,1966,7,"[35, 80, 10749]",6400000.0,4400000.0,123,10001,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
82,9325,The Jungle Book,7.284,1967,10,"[10751, 16, 12]",4000000.0,378000000.0,78,57314,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,667,You Only Live Twice,6.57,1967,6,"[28, 53, 12]",9500000.0,111584787.0,117,10076,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,649,Belle de Jour,7.397,1967,5,"[18, 10749]",,,101,793,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85,903,Cool Hand Luke,7.7,1967,11,"[80, 18]",3200000.0,16217773.0,127,13859,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
86,1654,The Dirty Dozen,7.593,1967,6,"[28, 12, 10752]",5400000.0,45300000.0,150,18392,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,12208,Casino Royale,5.3,1967,4,"[12, 28, 35]",12000000.0,41744718.0,131,6593,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,37247,The Graduate,7.7,1967,12,"[35, 18, 10749]",3000000.0,104945305.0,106,5342,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
89,10633,In the Heat of the Night,7.6,1967,8,"[80, 18, 9648, 53]",2000000.0,27379978.0,109,13563,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
90,2433,The Young Girls of Rochefort,7.657,1967,3,"[10749, 35, 18]",,,126,24882,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91,475,Bonnie and Clyde,7.492,1967,8,"[80, 18]",2500000.0,50700000.0,111,6448,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
92,1879,Guess Who's Coming to Dinner,7.572,1967,12,"[18, 35, 10749]",4000000.0,56666667.0,108,4081,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
93,11047,Asterix the Gaul,6.443,1967,12,"[10751, 16, 12, 35]",,,68,67919,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,5511,Le Samouraï,7.813,1967,10,"[80, 53, 18]",,39481.0,105,3831,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
95,10227,PlayTime,7.743,1967,12,[35],,,115,5763,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3053,Dance of the Vampires,6.973,1967,11,"[35, 27]",2000000.0,,108,3556,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
97,17887,Barefoot in the Park,7.115,1967,5,"[35, 10749]",2000000.0,30000000.0,106,69300,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,62,2001: A Space Odyssey,8.075,1968,4,"[878, 9648, 12]",12000000.0,71923560.0,149,240,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
99,871,Planet of the Apes,7.653,1968,2,"[878, 12, 18, 28]",5800000.0,32589624.0,112,13265,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
100,335,Once Upon a Time in the West,8.289,1968,12,"[18, 37]",5000000.0,5380118.0,166,4385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101,10331,Night of the Living Dead,7.62,1968,10,"[27, 53, 878]",114000.0,30000000.0,96,14999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
102,11046,Where Eagles Dare,7.55,1968,12,"[28, 12, 10752]",7700000.0,21000000.0,155,54451,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,10794,The Party,7.297,1968,4,[35],1500000.0,2900000.0,99,1927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,4929,Hang 'em High,6.836,1968,4,[37],1800000.0,6800000.0,114,18635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,11708,Chitty Chitty Bang Bang,6.8,1968,12,"[10751, 10402, 12, 14, 35]",10000000.0,,144,70308,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
106,8069,Barbarella,5.987,1968,10,"[878, 12, 35, 14]",9000000.0,2500000.0,98,53767,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
107,916,Bullitt,7.16,1968,10,"[28, 80, 53, 10749, 18]",5500000.0,42300000.0,113,12804,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
108,805,Rosemary's Baby,7.8,1968,6,"[18, 27, 53]",3200000.0,33395426.0,138,3556,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
109,6003,Romeo and Juliet,7.36,1968,4,"[18, 10749]",,38901218.0,138,24657,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
110,30197,The Producers,7.092,1968,3,[35],947000.0,,88,14639,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,14136,The Love Bug,6.537,1968,12,"[35, 10751, 14]",,51264022.0,107,5834,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
112,9929,Asterix and Cleopatra,6.917,1968,12,"[10751, 16, 12, 35]",,,72,24530,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,11356,The Odd Couple,7.507,1968,5,[35],1200000.0,44527234.0,106,69300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,4729,The Gendarme Gets Married,6.5,1968,10,[35],,,90,39138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,668,On Her Majesty's Secret Service,6.595,1969,12,"[12, 28, 53]",6000000.0,64574493.0,142,9868,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,10536,The Italian Job,7.0,1969,6,"[28, 80, 35, 53]",3000000.0,,99,39779,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
117,3116,Midnight Cowboy,7.518,1969,5,[18],3600000.0,44785053.0,113,19304,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
118,576,The Wild Bunch,7.6,1969,6,[37],6244087.0,638641.0,145,7767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119,642,Butch Cassidy and the Sundance Kid,7.609,1969,1,[37],6000000.0,102308889.0,111,9577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,17529,True Grit,7.4,1969,6,[37],,31132592.0,128,37360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,624,Easy Rider,7.076,1969,6,"[12, 18]",400000.0,60000000.0,95,2778,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,15383,Army of Shadows,8.0,1969,9,"[10752, 18, 36]",,741766.0,145,3831,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
123,11485,Take the Money and Run,7.118,1969,8,"[35, 80]",1500000.0,,85,1243,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,10112,The Aristocats,7.3,1970,12,"[16, 35, 10751, 12]",4000000.0,191000000.0,78,57314,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,1685,Beneath the Planet of the Apes,6.193,1970,4,"[12, 878, 9648]",3000000.0,18999718.0,95,18635,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
126,11916,Two Mules for Sister Sara,6.9,1970,3,[37],2500000.0,5050000.0,114,14773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,9394,They Call Me Trinity,7.6,1970,12,"[28, 35, 37]",,,115,56033,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
128,11202,Patton,7.507,1970,1,"[10752, 18, 36]",12000000.0,89800000.0,172,13265,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
129,11589,Kelly's Heroes,7.365,1970,6,"[12, 35, 10752]",4000000.0,5200000.0,144,54451,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,9062,Love Story,6.787,1970,12,"[10749, 18]",2200000.0,136400000.0,99,133259,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
131,11165,Tora! Tora! Tora!,7.163,1970,1,"[18, 36, 10752]",25485000.0,37150000.0,144,2087,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
132,8416,The Conformist,7.68,1970,7,[18],750000.0,233493.0,108,4956,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,11040,Little Big Man,7.5,1970,12,"[12, 37, 35, 18]",15000000.0,31559552.0,139,6448,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
134,651,M*A*S*H,6.977,1970,2,"[35, 18, 10752]",3500000.0,81600000.0,116,9789,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
135,26451,Investigation of a Citizen Above Suspicion,8.197,1970,10,"[18, 53]",,,111,95456,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
136,20345,The Bird with the Crystal Plumage,7.195,1970,2,"[27, 9648, 53]",500000.0,,96,4955,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
137,11657,Le Cercle Rouge,7.6,1970,10,"[53, 80, 18]",,,140,3831,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
138,13041,El Topo,7.1,1970,12,"[28, 12, 18, 37]",400000.0,,125,55119,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
139,252,Willy Wonka & the Chocolate Factory,7.498,1971,6,"[10751, 14, 35]",3000000.0,4000000.0,99,3451,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
140,185,A Clockwork Orange,8.208,1971,12,"[878, 80]",2200000.0,26589000.0,137,240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
141,681,Diamonds Are Forever,6.396,1971,12,"[28, 53]",7200000.0,116019547.0,120,9915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,984,Dirty Harry,7.46,1971,12,"[28, 80, 53]",4000000.0,35976000.0,102,14773,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
143,1687,Escape from the Planet of the Apes,6.323,1971,5,"[28, 878]",2500000.0,12400000.0,98,9108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,839,Duel,7.43,1971,11,"[28, 53, 10770]",450000.0,,89,488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
145,14811,Fiddler on the Roof,7.692,1971,11,"[18, 10749]",9000000.0,83304330.0,181,13563,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
146,12481,The Big Boss,7.124,1971,10,[28],100000.0,,99,70334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,11302,Bananas,6.7,1971,4,[35],2000000.0,11833696.0,82,1243,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
